# Img   rel_time   rel_X   rel_Y   rel_Z   roll   pitch   yaw
246    10.22739   -47262.05    2034.152    2988.844   -0.7580566    3.306885    161.5265   
247    10.25239   -47261.26    2031.662    2988.844   -0.7580566    3.306885    161.5265   
248    10.30239   -47258.89    2024.203    2988.781   -0.7525635    3.312378     161.521   
249    10.35239   -47256.52    2016.743    2988.719   -0.7525635    3.312378     161.521   
250    10.40252   -47254.94    2011.764    2988.688   -0.7470703    3.317871    161.5155   
251    10.45264   -47253.37    2006.794    2988.656   -0.736084    3.323364    161.5155   
252    10.50277      -47251    1999.334    2988.594   -0.7250977    3.328857      161.51   
253    10.55289   -47249.42    1994.355    2988.562   -0.7086182    3.328857      161.51   
255    10.60302   -47247.05    1986.895    2988.531   -0.6921387    3.334351    161.5045   
256    10.62814   -47246.26    1984.405      2988.5   -0.6756592    3.339844    161.5045   
257    10.67814   -47243.89    1976.946    2988.438   -0.6481934    3.339844    161.5045   
258    10.72827   -47242.31    1971.966    2988.406   -0.6097412    3.345337     161.499   
259    10.77827   -47239.94    1964.507    2988.375   -0.5712891     3.35083     161.499   
260    10.82827   -47238.35    1959.527    2988.312   -0.5218506     3.35083    161.4935   
261    10.87852   -47236.78    1954.557    2988.281   -0.4833984    3.356323    161.4935   
262    10.92915    -47234.4    1947.088     2988.25   -0.4229736    3.361816    161.4935   
263    10.97939   -47232.82    1942.118    2988.219   -0.3790283     3.36731     161.488   
265    11.00439   -47231.23    1937.101    2988.125   -0.3295898     3.36731     161.488   
266    11.05439   -47228.85    1929.641    2988.062   -0.269165    3.372803     161.488   
267    11.10452   -47227.27    1924.662    2988.031   -0.2087402    3.378296    161.4825   
268    11.15465    -47224.9    1917.202    2987.969   -0.1483154    3.383789    161.4825   
269    11.20464   -47223.32    1912.223    2987.938   -0.08239746    3.389282    161.4825   
270    11.25477   -47220.94    1904.763    2987.906   -0.02197266    3.394775    161.4771   
271     11.3049   -47219.36    1899.784    2987.844   0.04394531    3.400269    161.4771   
272     11.3299   -47218.57    1897.294    2987.844   0.0769043    3.405762    161.4771   
274     11.3799    -47216.2    1889.825    2987.781   0.1428223    3.411255    161.4771   
275    11.43002   -47214.62    1884.855     2987.75   0.2032471    3.416748    161.4771   
276    11.48039   -47212.24    1877.386    2987.719   0.2636719    3.422241    161.4716   
277    11.53077   -47210.66    1872.406    2987.688   0.3295898    3.427734    161.4716   
278    11.58114   -47208.29    1864.937    2987.625   0.3900146    3.433228    161.4716   
279    11.63189   -47206.71    1859.958    2987.594   0.4559326    3.438721    161.4716   
280    11.68239   -47205.12    1854.988    2987.562   0.4943848    3.438721    161.4716   
281     11.7074   -47203.55    1850.008    2987.531   0.5493164    3.444214    161.4716   
283    11.75752   -47201.17    1842.539    2987.469    0.604248    3.449707    161.4771   
284    11.80764    -47199.6     1837.56    2987.438   0.6591797      3.4552    161.4771   
285    11.85765   -47197.22    1830.091    2987.406   0.7086182    3.460693    161.4771   
286    11.90777   -47195.64    1825.112    2987.375   0.7580566    3.466187    161.4825   
287    11.95802   -47193.27    1817.643    2987.312   0.8074951     3.47168    161.4825   
288    12.00815   -47191.68    1812.635    2987.219   0.8514404    3.477173     161.488   
289    12.03327   -47190.89    1810.145    2987.188   0.8734131    3.477173     161.488   
290    12.08364   -47188.52    1802.676    2987.156   0.9118652    3.482666    161.4935   
292     12.1339   -47186.94    1797.697    2987.125   0.9503174    3.488159     161.499   
293    12.18415   -47184.57    1790.228    2987.062   0.9887695    3.493652     161.499   
294    12.23477   -47182.99    1785.249    2987.031    1.021729    3.499146      161.51   
295     12.2854   -47180.62    1777.771        2987    1.054688    3.504639      161.51   
296     12.3354   -47178.25    1770.302    2986.938    1.087646    3.504639     161.521   
297    12.38552   -47176.68    1765.322    2986.906    1.115112    3.510132    161.5265   
298    12.41065   -47175.89    1762.833    2986.906    1.126099    3.515625     161.532   
